Age,Education,Marital Status,Parental_Status,Children,Income,Total_Spending,Days_as_Customer,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Web,Catalog,Store,Discount Purchases,Total_Promo,NumWebVisitsMonth
69,2,0,0,0,58138.0,1617,5213,58,635,81,546,120,81,88,8,10,4,3,0,7
72,2,0,1,2,46344.0,27,4367,38,11,1,6,2,1,6,1,1,2,2,0,5
61,2,1,0,0,71613.0,776,4714,26,426,49,127,111,21,42,8,2,10,1,0,4
42,2,1,1,1,26646.0,53,4307,26,11,4,20,10,3,5,2,0,4,2,0,6
45,4,1,1,1,58293.0,422,4563,94,173,43,118,46,27,15,5,3,6,5,0,5
59,3,1,1,1,62513.0,716,4695,16,520,42,98,0,42,14,6,4,10,2,0,6
55,2,0,1,1,55635.0,590,4995,34,235,65,164,50,49,27,7,3,7,4,0,6
41,4,1,1,1,33454.0,169,4730,32,76,10,56,3,1,23,4,0,4,2,0,8
52,4,1,1,1,30351.0,46,4790,19,14,0,24,3,3,2,3,0,2,1,0,9
76,4,1,1,2,5648.0,49,4510,68,28,0,6,1,1,13,1,0,0,1,1,20
43,2,1,1,1,,19,4628,11,5,5,6,0,2,1,1,0,2,1,0,7
50,0,1,0,0,7500.0,61,4995,59,6,16,11,11,1,16,2,0,3,1,0,8
67,2,0,0,0,63033.0,1102,4628,82,194,61,480,120,81,30,3,4,8,1,0,2
74,3,0,1,2,59354.0,310,4628,53,233,2,53,3,5,14,6,1,5,3,0,6
39,2,1,0,0,17323.0,46,5029,38,3,14,17,6,1,5,1,0,3,1,0,8
80,4,0,0,0,82800.0,1315,4984,23,1006,22,115,59,68,45,7,6,12,1,2,3
46,2,1,1,2,41850.0,96,4954,51,53,5,19,2,13,4,3,0,3,3,0,8
80,2,1,0,0,37760.0,317,5069,20,84,5,38,120,12,28,4,1,6,2,0,7
77,3,1,1,1,76995.0,1782,4860,91,1012,80,498,0,16,126,11,4,9,2,1,5
41,1,0,1,1,33812.0,133,5242,86,4,17,19,30,24,39,2,1,3,2,0,6
44,2,1,0,0,37040.0,316,5092,41,86,2,73,69,38,48,4,2,5,1,0,8
47,2,1,1,1,2447.0,1730,4795,42,1,1,556,1,1,1,0,28,0,15,0,1
77,4,1,1,1,58607.0,972,4955,63,867,0,86,0,0,19,2,3,9,3,1,8
72,4,1,1,1,65324.0,544,4277,0,384,0,102,21,32,5,6,2,9,3,0,4
75,2,1,1,1,40689.0,444,4870,69,270,3,27,39,6,99,7,1,5,7,0,8
57,2,0,0,0,18589.0,75,4915,89,6,4,25,15,12,13,2,1,3,2,0,7
50,2,1,1,2,53359.0,257,4800,4,173,4,30,3,6,41,5,1,4,4,0,7
40,2,0,1,1,,637,4896,19,5,1,3,3,81,126,27,0,0,0,0,1
37,2,1,1,1,38360.0,131,4796,26,36,2,42,20,21,10,2,1,4,2,0,3
61,4,1,0,0,84618.0,1672,4621,96,684,81,556,21,66,0,6,9,10,1,1,2
37,3,0,0,0,10979.0,30,4440,34,8,4,10,2,2,4,3,0,3,2,0,5
63,3,1,0,0,38620.0,318,4638,56,112,17,44,34,22,89,2,5,3,1,0,3
56,2,1,1,1,40548.0,120,5029,31,110,0,5,2,0,3,2,1,4,2,1,5
74,4,0,1,2,46610.0,302,5010,8,96,12,96,33,22,43,4,1,6,6,0,6
80,3,1,0,0,68657.0,1196,4896,4,482,34,471,119,68,22,3,5,9,1,0,7
75,3,0,1,2,49389.0,65,4706,55,40,0,19,2,1,3,2,0,3,1,0,7
56,4,1,1,1,67353.0,913,4582,37,702,17,151,0,8,35,5,6,12,5,0,2
50,1,1,1,1,23718.0,81,4907,76,6,3,14,15,7,36,3,1,2,3,0,7
53,2,0,1,1,42429.0,67,4276,99,55,0,6,2,0,4,1,1,3,2,0,5
83,4,0,0,0,48948.0,902,4945,53,437,8,206,120,49,42,7,10,5,2,1,6
46,2,1,1,1,80011.0,1395,4828,3,421,76,536,82,81,102,8,6,5,2,0,4
41,3,1,1,1,20559.0,53,4610,88,13,1,29,3,0,7,2,0,3,2,0,8
69,2,1,1,1,21994.0,22,4954,4,9,0,6,3,1,3,0,0,3,1,0,5
67,4,0,0,0,,186,4816,80,81,11,50,3,2,39,1,3,4,1,0,2
51,3,1,1,1,7500.0,31,4906,19,3,1,10,3,2,12,2,0,3,3,0,5
50,2,0,0,0,79941.0,984,4403,72,123,81,266,120,30,126,2,4,9,1,0,1
30,1,1,0,0,7500.0,122,5058,24,3,18,14,15,22,50,3,1,3,3,0,9
58,2,1,1,1,41728.0,55,4803,92,13,6,15,3,5,13,2,0,2,1,0,10
75,2,0,1,3,,124,4581,96,48,5,48,6,10,7,2,1,4,3,0,6
